study,dataset,variant,pca_components,k,window_radius,mutual,min_degree,use_spatial_affinity,alpha,checkpoint,fine_radius,filter_radius,prototype_threshold,prototype_neighbors,size_exponent,disable_fine_grouping,disable_consolidation,device,height,width,bands,n_nodes,directed_edge_entries,degree_min,degree_median,degree_p90,degree_max,isolated_nodes,sigma_spectral,sigma_spatial,last_movement,fine_modes_full,fine_oa,fine_balanced_accuracy,fine_nmi,fine_ari,dispersion_floor,n_clusters_full,largest_cluster_fraction_full,normalized_entropy_full,microcluster_mass_full,overall_accuracy,balanced_accuracy,nmi,ari,n_pred_clusters_labeled,load_preprocess_graph_seconds,affinity_seconds,diffusion_seconds,mode_extraction_consolidation_seconds,total_runtime_seconds,peak_process_rss_mb,peak_gpu_allocated_mb,peak_gpu_reserved_mb
sensitivity,indian_pines,window_radius=9,20,20,9,True,4,True,0.5,50,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,287268,4,14.0,20.0,22,0,3.824188232421875,5.099019527435303,0.1752096563577652,115,0.4539955117572446,0.5109597758690165,0.6449179393289765,0.3443604679737177,1.2676691668637772,30,0.4497027348394768,0.6928288411188683,0.0,0.4759488730607864,0.4693699298863436,0.5865219988262991,0.3371081113488408,27,0.9644208370000342,0.2710395189999417,0.0445161479999569,0.3234080969998558,1.6438911889999872,1975.619584,716.41088,876.609536
sensitivity,indian_pines,pca_components=10,10,20,7,True,4,True,0.5,50,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,296072,4,15.0,20.0,21,0,4.024927139282227,4.123105525970459,0.1764536201953888,130,0.5535174163333008,0.5451589921029235,0.6820047798113283,0.5063675151391982,1.2411262281551108,34,0.3022116527942925,0.7592582056004268,0.0,0.5677627085569323,0.5511075875074813,0.6244811839005969,0.466824130366141,32,0.8403635460001624,0.2732356480000817,0.04471606900006,0.3201010349998796,1.5189757890000235,1974.910976,716.41088,878.706688
sensitivity,indian_pines,pca_components=20,20,20,7,True,4,True,0.5,50,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,292766,4,15.0,20.0,22,0,3.955310821533203,4.123105525970459,0.1763077080249786,122,0.3965264903893062,0.5089433569537044,0.6304065250822131,0.3027555898146475,1.23186965645556,35,0.3597146254458977,0.7558509308253974,0.0008561236623067,0.4180895697141184,0.4955754819131091,0.5884603158773851,0.302183229144247,33,0.7950315220000448,0.2689646169999378,0.0443670530000872,0.316632004999974,1.466288496999823,1986.551808,716.41088,878.706688
sensitivity,indian_pines,pca_components=30,30,20,7,True,4,True,0.5,50,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,290860,4,14.0,20.0,23,0,3.921197891235352,4.123105525970459,0.1770947277545929,132,0.4162357303151527,0.5857036666580643,0.6438726758609538,0.3164998122957881,1.2789776260234724,37,0.3540546967895362,0.7571971085322529,0.0007609988109393,0.4283344716557713,0.6009805890221172,0.5874875138844721,0.309289720095506,35,0.8505755660000887,0.2815206770001168,0.0450311600000077,0.3204061639999054,1.538667541999985,1983.504384,716.41088,876.609536
sensitivity,indian_pines,pca_components=40,40,20,7,True,4,True,0.5,50,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,289528,4,14.0,20.0,22,0,3.902472496032715,4.123105525970459,0.1768914312124252,130,0.4370182456825056,0.5696860858479347,0.635468062704779,0.3350429500362594,1.1737744012243223,35,0.3713674197384066,0.7371206620490375,0.0,0.453605229778515,0.5312002356636629,0.5771860455278263,0.322861773869683,32,0.8747794509999949,0.2780505559999255,0.0451854870000261,0.4448184570001103,1.6840274769999724,1981.374464,716.41088,876.609536
sensitivity,indian_pines,checkpoint=12,20,20,7,True,4,True,0.5,12,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,292766,4,15.0,20.0,22,0,3.955310821533203,4.123105525970459,0.4719017446041107,238,0.3731095716655283,0.396916420818911,0.6000711977594079,0.3104469212577446,1.4641169548136546,12,0.4640665873959572,0.7651433143869392,0.0,0.4118450580544443,0.4307986686215894,0.467004583210343,0.2602734350629013,12,0.8712343619999956,0.2737945680000848,0.023788229000047,0.461613355000054,1.67659498099988,1986.572288,716.41088,878.706688
sensitivity,indian_pines,checkpoint=25,20,20,7,True,4,True,0.5,25,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,292766,4,15.0,20.0,22,0,3.955310821533203,4.123105525970459,0.286307543516159,191,0.4834618011513318,0.5732318562466051,0.6503738646406877,0.4229673258010085,1.3779684304294282,14,0.4042806183115339,0.7748517266330015,0.0,0.5514684359449702,0.5188609889297359,0.5357796000978847,0.3943557205018518,14,0.8503468860001249,0.272312963000104,0.0307153549999839,0.329922477999844,1.5238501889998588,1986.572288,716.41088,878.706688
sensitivity,indian_pines,checkpoint=50,20,20,7,True,4,True,0.5,50,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,292766,4,15.0,20.0,22,0,3.955310821533203,4.123105525970459,0.1763077080249786,122,0.3965264903893062,0.5089433569537044,0.6304065250822131,0.3027555898146475,1.23186965645556,35,0.3597146254458977,0.7558509308253974,0.0008561236623067,0.4180895697141184,0.4955754819131091,0.5884603158773851,0.302183229144247,33,0.837554597999997,0.2706497479998688,0.0445626959999572,0.3339384419998623,1.5272624449999057,1983.811584,716.41088,878.706688
sensitivity,indian_pines,checkpoint=100,20,20,7,True,4,True,0.5,100,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,292766,4,15.0,20.0,22,0,3.955310821533203,4.123105525970459,0.1508945822715759,87,0.3663772075324422,0.4435979480049887,0.5571385838367955,0.1522936155166661,1.0616393282991925,38,0.5591438763376932,0.592073512795544,0.0,0.3681334764367255,0.4483447834480267,0.5380353692249596,0.1514804715100915,34,0.8263732210000398,0.2724964190001628,0.072558600000093,0.3277398989998801,1.5392957899998692,1986.609152,716.41088,878.706688
sensitivity,indian_pines,fine_radius=0.15,20,20,7,True,4,True,0.5,50,0.15,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,292766,4,15.0,20.0,22,0,3.955310821533203,4.123105525970459,0.1763077080249786,361,0.3556444531173773,0.482398254656037,0.6576914949814969,0.2791455963657218,1.1684410866444512,19,0.1663258026159334,0.92024631347738,0.0,0.5104888281783588,0.6162191044712324,0.5807293326911721,0.3333053067052706,18,0.791381433999959,0.2722350550000101,0.0445701090000056,0.3589969750000819,1.5070339230001082,1986.609152,716.41088,878.706688
