dataset,label_free_signal,metric,spearman_rho,pvalue_descriptive_only,candidate_settings
whu_hi_longkou,microcluster_penalty,NMI,-0.6254573153647839,0.0296215013265492,12
whu_hi_longkou,microcluster_penalty,ARI,-0.6254573153647839,0.0296215013265492,12
whu_hi_longkou,compression,OA,-0.6254573153647839,0.0296215013265492,12
whu_hi_longkou,compression,BA,-0.7738709156208343,0.0031400668434092,12
whu_hi_longkou,compression,NMI,-0.6070175438596492,0.0363410376823253,12
whu_hi_longkou,compression,ARI,-0.6070175438596492,0.0363410376823253,12
whu_hi_honghu,adjacent_stability,OA,-0.4916330090444486,0.0325271833410232,19
whu_hi_honghu,adjacent_stability,BA,-0.4916330090444486,0.0325271833410232,19
whu_hi_honghu,adjacent_stability,NMI,-0.4975828502110952,0.0301748681895828,19
whu_hi_honghu,adjacent_stability,ARI,-0.4993410934980601,0.0295057757667431,19
whu_hi_honghu,largest_cluster_penalty,OA,0.0798728159401571,0.737823158216771,20
whu_hi_honghu,largest_cluster_penalty,BA,0.0798728159401571,0.737823158216771,20
whu_hi_honghu,largest_cluster_penalty,NMI,0.0890857279125665,0.7087804109327025,20
whu_hi_honghu,largest_cluster_penalty,ARI,0.079540828493363,0.7388763938781604,20
whu_hi_honghu,normalized_entropy,OA,0.8943659554012425,1.054099666160954e-07,20
whu_hi_honghu,normalized_entropy,BA,0.8943659554012425,1.054099666160954e-07,20
whu_hi_honghu,normalized_entropy,NMI,0.8929110105580693,1.1856865704162e-07,20
whu_hi_honghu,normalized_entropy,ARI,0.8959276018099547,9.272981951316832e-08,20
whu_hi_honghu,microcluster_penalty,OA,0.0068834784461896,0.9770226138858576,20
whu_hi_honghu,microcluster_penalty,BA,0.0068834784461896,0.9770226138858576,20
whu_hi_honghu,microcluster_penalty,NMI,0.015233039122718,0.9491764020516584,20
whu_hi_honghu,microcluster_penalty,ARI,0.015233039122718,0.9491764020516584,20
whu_hi_honghu,compression,OA,0.017417795913826,0.9418982160154454,20
whu_hi_honghu,compression,BA,0.017417795913826,0.9418982160154454,20
whu_hi_honghu,compression,NMI,0.0150829562594268,0.949676529005498,20
whu_hi_honghu,compression,ARI,0.0196078431372549,0.9346068536251622,20
whu_hi_hanchuan,adjacent_stability,OA,-0.4258699260916789,0.0690646825130852,19
whu_hi_hanchuan,adjacent_stability,BA,-0.4892224770805236,0.033519787599501,19
whu_hi_hanchuan,adjacent_stability,NMI,-0.5679125816896952,0.0111953599211195,19
whu_hi_hanchuan,adjacent_stability,ARI,-0.4905498770632352,0.0329703268928671,19
whu_hi_hanchuan,largest_cluster_penalty,OA,-0.8700587744553887,6.200265515865968e-07,20
whu_hi_hanchuan,largest_cluster_penalty,BA,-0.8700587744553887,6.200265515865968e-07,20
