dataset,method,seed,uses_true_k,uses_labels_for_selection,selected_resolution,runtime_seconds,peak_rss_mb,overall_accuracy,balanced_accuracy,kappa,nmi,ami,ari,homogeneity,completeness,v_measure,n_pred_clusters,tiny_cluster_pixel_fraction,n_clusters_full,n_clusters_labeled,preprocessing,implementation,min_cluster_size,min_samples,cluster_selection_method,noise_fraction_full,noise_fraction_labeled,n_clusters_full_excluding_noise,n_clusters_labeled_excluding_noise
indian_pines,Leiden,2,False,False,1.0,1.3476427169999852,344.887296,0.3895989852668553,0.6140026472250781,0.3645601434511352,0.6979363996288839,0.6936698015841718,0.3019610474456421,0.9060195518689798,0.5675814462100984,0.6979363996288839,61,0.04097960776661138,87,61,,,,,,,,,
indian_pines,Leiden,4,False,False,1.0,1.3539894830000208,345.53856,0.39662406088398866,0.619419909788222,0.37150338492719137,0.6976229484780577,0.6935799163581627,0.30025338462646745,0.9073308883482517,0.5666542948952348,0.6976229484780576,57,0.023221777734413113,88,57,,,,,,,,,
whu_hi_longkou,Leiden,3,False,False,0.1,17.67412404699985,1073.99168,0.3346647632271123,0.5774931756444172,0.29196117688024414,0.6666702059045759,0.6664200423048587,0.2762335058649718,0.9585715358750323,0.5110475410148052,0.666670205904576,125,0.0061552150658544455,155,125,,,,,,,,,
whu_hi_longkou,Leiden,1,False,False,0.1,17.523924230000148,1061.552128,0.3853291744482796,0.600005034416287,0.3377096351913763,0.6779063804688337,0.6776617165878878,0.3047139400966843,0.9579171671329431,0.5245686209510316,0.6779063804688337,124,0.0041018470534169025,152,124,,,,,,,,,
whu_hi_longkou,Leiden,0,False,False,0.1,17.509453085999894,1061.568512,0.3769250325116602,0.6031617365554194,0.3312551753207956,0.6697616643970646,0.6695132041539754,0.2944289561050858,0.9521543471141216,0.516559081895212,0.6697616643970647,124,0.004488075798613488,153,124,,,,,,,,,
whu_hi_longkou,Leiden,2,False,False,0.1,17.420348416000024,1067.692032,0.3934008663257424,0.6089284167643227,0.3450063375053224,0.6778897749746189,0.6776353916061141,0.32066400529832584,0.9521097547753377,0.5263066279958688,0.6778897749746188,128,0.004947639115682843,156,128,,,,,,,,,
whu_hi_longkou,Leiden,4,False,False,0.1,17.67090691899989,1077.141504,0.32268678315455995,0.5710824901931015,0.2811422280976711,0.6565244952284744,0.6562543722053416,0.2696232213363307,0.9430085941899216,0.5035477191082667,0.6565244952284746,130,0.007714796961015341,161,130,,,,,,,,,
whu_hi_hanchuan,Leiden,3,False,False,0.06,27.413658506000047,1580.056576,0.40029511124917483,0.4597321069238033,0.3607577866653917,0.6578036217607657,0.6576098538373196,0.3951723756587205,0.7924297965166275,0.5622780137258503,0.6578036217607657,65,0.00657399137964509,74,65,,,,,,,,,
whu_hi_hanchuan,Leiden,1,False,False,0.06,27.37711123100007,1535.823872,0.38021201413427563,0.45939682587014513,0.34257923440316107,0.6589948227397634,0.6587971804724788,0.36911867166250406,0.8048524117552838,0.5578920722263557,0.6589948227397634,67,0.007886459829922728,76,67,,,,,,,,,
whu_hi_hanchuan,Leiden,0,False,False,0.06,27.412892563999776,1535.823872,0.4005086786005514,0.4728202118126136,0.36030928649004434,0.661674117108025,0.6614831211913456,0.39665186073462283,0.7965822802152239,0.565843569028292,0.661674117108025,65,0.007358366015609832,74,65,,,,,,,,,
whu_hi_hanchuan,Leiden,2,False,False,0.06,27.144890554000085,1589.325824,0.401071719799635,0.4706691567714577,0.36103717320801354,0.6579681731540779,0.6577821593202452,0.3947792400131654,0.7872099413034016,0.5651788104333789,0.6579681731540777,62,0.003883042752300703,71,62,,,,,,,,,
whu_hi_hanchuan,Leiden,4,False,False,0.06,27.3057110550003,1597.804544,0.38206810856987533,0.4643670183536357,0.3455594040503771,0.6612948311878305,0.6611039844620155,0.37111243559864193,0.8088195274391932,0.559284156906655,0.6612948311878305,65,0.003851978410282297,74,65,,,,,,,,,
trento,Leiden,3,False,False,0.06,8.42066123800032,1110.233088,0.6385781425829086,0.5610570621140459,0.5607775516946907,0.7718188390363316,0.7716378536237265,0.7298186012130976,0.8911058529382502,0.6806978824228747,0.7718188390363315,18,0.0045012245978685375,24,18,,,,,,,,,
trento,Leiden,1,False,False,0.06,8.37805436400049,1110.216704,0.6337790428278282,0.554940151875338,0.555128024361412,0.7658320994688212,0.7656688252292687,0.7288730962544226,0.8874016626998704,0.6735580370892501,0.7658320994688212,16,0.009333421592639174,22,16,,,,,,,,,
trento,Leiden,0,False,False,0.06,8.243731535999359,1110.216704,0.630138346461905,0.5484507812311928,0.551938633468783,0.761689549477565,0.7615247686860923,0.726964486672601,0.8810768916087376,0.6707956546490794,0.7616895494775648,16,0.00417025220096644,22,16,,,,,,,,,
trento,Leiden,2,False,False,0.06,8.34009670100022,1110.233088,0.6245118157145694,0.5463900288766418,0.5461576205488949,0.7462076669763796,0.7460045612314516,0.6769109382117644,0.9013582329531761,0.6366254827249412,0.7462076669763797,19,0.004468127358178328,25,19,,,,,,,,,
trento,Leiden,4,False,False,0.06,8.321854253999845,1110.237184,0.6335142649103065,0.5520519510903151,0.5548483721178026,0.763102353081761,0.7629245617415554,0.7271349336537052,0.8826163068341947,0.6720948434580126,0.7631023530817609,17,0.004766002515390217,24,17,,,,,,,,,
botswana,Leiden,3,False,False,1.0,31.62425014099972,1534.242816,0.4725985221674877,0.45884111931383215,0.4487837093195156,0.7730018266728448,0.7656881972974636,0.5074265906836888,0.8882085960839811,0.6842499037282097,0.7730018266728448,48,0.02647783251231527,167,48,,,,,,,,,
botswana,Leiden,1,False,False,1.0,31.40847253899983,1494.2208,0.4547413793103448,0.4464799121571804,0.42744626978608247,0.7552295616763968,0.7470587201272347,0.4828742052871879,0.8623658333226861,0.6717717960249651,0.7552295616763968,50,0.026785714285714284,168,50,,,,,,,,,
botswana,Leiden,0,False,False,1.0,31.378942487999666,1480.17152,0.4815270935960591,0.4770805717138746,0.45704182240539104,0.783983182115418,0.7775300957559887,0.5308556655518127,0.8956667433863013,0.6970640306044382,0.7839831821154178,45,0.018780788177339903,167,45,,,,,,,,,
botswana,Leiden,2,False,False,1.0,31.48798683899986,1521.856512,0.4304187192118227,0.41271057709841136,0.40297688870359705,0.761357850529502,0.7533726923173811,0.4803160642664623,0.8713672452018522,0.6760119060035262,0.761357850529502,49,0.023399014778325122,167,49,,,,,,,,,
